VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,01/01/2024 00:29,01/01/2024 00:54,1,7.28,1,N,24,79,1,34.5,1,0.5,11.85,0,1,51.35,2.5,0
2,01/01/2024 00:56,01/01/2024 01:01,1,0.78,1,N,79,114,2,7.2,1,0.5,0,0,1,12.2,2.5,0
2,01/01/2024 00:13,01/01/2024 00:19,1,0.67,1,N,237,161,1,7.9,1,0.5,3.87,0,1,16.77,2.5,0
2,01/01/2024 00:34,01/01/2024 00:38,1,0.77,1,N,237,237,1,6.5,1,0.5,1.72,0,1,13.22,2.5,0
2,01/01/2024 00:45,01/01/2024 01:13,1,5.96,1,N,236,244,1,31.7,1,0.5,9.18,0,1,45.88,2.5,0
2,01/01/2024 00:12,01/01/2024 00:48,1,4.35,1,N,144,143,1,32.4,1,0.5,7.48,0,1,44.88,2.5,0
2,01/01/2024 00:49,01/01/2024 00:51,1,0.44,1,N,142,143,1,4.4,1,0.5,1.88,0,1,11.28,2.5,0
2,01/01/2024 00:53,01/01/2024 01:19,1,5.68,1,N,239,7,1,28.9,1,0.5,8.47,0,1,42.37,2.5,0
1,01/01/2024 00:20,01/01/2024 00:27,1,1,1,N,263,236,1,8.6,3.5,0.5,2.7,0,1,16.3,2.5,0
1,01/01/2024 00:34,01/01/2024 00:56,2,2.9,1,N,43,264,1,21.2,3.5,0.5,3.93,0,1,30.13,2.5,0
2,01/01/2024 00:41,01/01/2024 01:01,1,3.58,1,N,79,141,1,20.5,1,0.5,3.3,0,1,28.8,2.5,0
1,01/01/2024 00:15,01/01/2024 00:23,2,1.3,1,N,143,238,1,10,3.5,0.5,0,0,1,15,2.5,0
2,01/01/2024 00:10,01/01/2024 00:20,1,2.77,1,N,142,166,1,13.5,1,0.5,5.55,0,1,24.05,2.5,0
2,01/01/2024 00:39,01/01/2024 00:45,2,1.17,1,N,239,236,1,8.6,1,0.5,2.72,0,1,16.32,2.5,0
2,01/01/2024 00:05,01/01/2024 00:12,1,1.12,1,N,79,107,1,8.6,1,0.5,2.72,0,1,16.32,2.5,0
